book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, enjoy design 일러스트레이터 CS6","김경진 , 김부치 ",,2014-01-03,9788998756727
"IT CookBook, 인터넷 해킹과 보안(개정판) : 정보 보안 개론과 실습",김경곤 ,,2014-01-08,9788998756666
SQL 첫걸음: 하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기,아사이 아츠시 ,박준용 ,2015-10-26,9788968482311
"IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트","임석구 , 홍경호 ",,2014-01-08,9788998756758
만들면서 배우는 Swift : 스위프트로 시작하는 iOS 개발,야곰 ,,2014-11-12,9788968486753
실무 예제로 배우는 Elasticsearch 검색엔진(활용편),정호욱 ,,2015-03-09,9788968487422
Head First SQL : 효율적인 DB 관리를 위한 SQL 학습법,린 베일리 ,박종걸 ,2008-05-28,9788979145601
"IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming","김선우 , 신화선 ",,2014-01-08,9788998756697
iOS 8 핵심 노트,야곰 ,,2015-05-15,9788968487491
사물 인터넷 · 웨어러블 Ver 0.9: 새로운 IT 플랫폼을 완성하는 서비스 기획 · UX 가이드,송태민 ,,2015-03-28,9788968481635
iOS 9 핵심 노트,야곰 ,,2015-10-14,9788968487545
모던 웹을 위한 실시간 사용자 경험(UX) 프로그래밍: 웹사이트에 인터랙티브를 더하는 마술,테드 로덴 ,백기선 ,2012-05-04,9788979149159
멀티 디바이스 UX 디자인 : 사물인터넷 생태계 경험을 지배하는 3가지 핵심 원리,미할 레빈 ,이미령 ,2014-11-12,9788968481307
엔지니어를 위한 데이터 시각화 :  D3.js로 배우는 데이터 시각화 이론과 12가지 사례,"모리후지 다이치 , 안티베이지안 ",김성재 ,2015-04-27,9788968481918
데이터 시각화를 위한 데이터 인사이트 : 빅데이터를 바라보는 통찰의 눈,헌터 휘트니 ,한선용 ,2014-04-18,9788968480942
스위프트 프로그래밍 2판,야곰 ,,2017-10-01,9791162240052
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,,2018-01-20,9791156643753
맛있는 디자인 일러스트레이터 CS6,우보명 ,,2012-12-12,9788979149890
맛있는 디자인 일러스트레이터 CC,빨간고래(박정아) ,,2014-10-16,9788968481284
Head First PHP & MySQL: 효과적이고 생동감 넘치는 웹 애플리케이션 만들기,"린 베일리 , 마이클 모리슨 공저 ",홍승표 ,2010-05-07,9788979147391
"IT CookBook, 인터넷 해킹과 보안 개정3판",김경곤 ,,2017-06-30,9791156643272
회사에서 바로 통하는 일러스트레이터 CS5,박혜진(삐딱대가리) ,,2011-04-28,9788979148244
"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구 ,,2014-07-28,9791156641278
"IT CookBook, 디지털 논리회로(개정3판) : 이론, 실습, 시뮬레이션","임석구 , 홍경호 ",,2015-07-07,9791156641889
"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정 , 모현선 ",,2013-12-02,9788998756765
10년차 디자이너에게 1:1로 배우는 일러스트레이터 디자인 강의,장보경(앤하우스) ,,2014-01-08,9788968480768
비즈니스 활용 사례로 배우는 데이터 분석:R,"사카마키 류지 , 사토 요헤이 ",손정도 ,2015-10-28,9788968482113
린 고객 개발 : 고객의 지갑을 여는 제품 만들기,신디 앨버레즈 ,"박주훈 , 이광호 ",2015-04-27,9788968481864
린 스타트업 실전 UX: 더 빠르고 스마트하게 일하는 린 UX 실행 전략,로라 클라인 ,"김수영 , 박기석 ",2014-09-28,9788968481086
"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍",황희정 ,,2014-01-09,9788998756680
"IT CookBook, New 인터넷 이해와 활용",김경신 ,,2014-01-09,9788998756703
"개발자, 나를 말하다 : 게임, 모바일, 웹, 시스템, DB 개발자의 진솔한 이야기",용영환 ,,2014-01-27,9788968486593
해커와 화가,폴 그레이엄 ,임백준 ,2014-01-24,9788968480713
함수형 자바스크립트 : 새롭고 올바른 자바스크립트 프로그래밍 기법,마이클 포거스 ,우정은 ,2014-01-28,9788968480799
MariaDB 실전 활용 노하우 : 카카오 실무자가 알려주는 마리아DB 활용 노하우,성동찬 ,,2014-01-29,9788968486883
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(개정판)","문호석 , 손명호 ",,2014-02-17,9788998756925
"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍",김선우 ,,2013-07-28,9788998756444
"IT CookBook, 인터넷 프로그래밍 입문 : HTML, CSS, JavaScript","주성례 , 정선호 , 한민형 , 권원상 ",,2014-02-17,9788998756895
"IT CookBook, C로 배우는 쉬운 자료구조(개정판)",이지영 ,,2013-07-28,9788998756383
맛있는 디자인 드림위버 CC,"임화연 , 이해령 ",,2015-07-28,9788968482120
맛있는 디자인 애프터 이펙트 CS6 & CC,이수정 ,,2014-11-21,9788968481420
"IT CookBook, C로 배우는 쉬운 자료구조(개정3판)",이지영 ,,2016-07-28,9791156642695
맛있는 디자인 인디자인 CC,황지완 ,,2016-02-19,9788968482427
뇌를 자극하는 PHP 프로그래밍,조명진 ,,2009-07-21,9788979146585
"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설 ,,2013-07-02,9788998756376
맛있는 디자인 프리미어 프로 CS6 & CC,"윤성우 , 김덕영 ",,2015-09-11,9788968482090
맛있는 디자인 포토샵 CC,"윤이사라(포완카) , 박효근 ",,2015-07-28,9788968482083
"IT CookBook, 디지털 실험 : with PSpice",홍순관 ,,2013-12-31,9788998756772
"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호 , 민경옥 ",,2013-08-21,9788998756499
"IT CookBook, 기초 전기전자 에센스","모현선 , 장성용 , 홍익표 ",,2016-12-31,9791156642978
해커스 : 세상을 바꾼 컴퓨터 천재들 (무삭제판),스티븐 레비 ,"박재호 , 이해영 ",2013-08-19,9788968480454
회사에서 바로 통하는 엑셀 실무 데이터 분석,최준선 ,,2012-11-20,9788979149807
파이썬을 활용한 베이지안 통계: 동전 던지기와 하키 승률로 배우는 데이터 분석,앨런 B. 다우니 ,권정민 ,2014-07-14,9788968481147
"IT CookBook, 초보자의 첫 번째 컴퓨터와 인터넷 활용",최희식 ,,2009-11-05,9788979147001
맛있는 디자인 일러스트레이터 CC 2017,박정아 ,,2017-10-10,9791162240069
맛있는 디자인 포토샵&일러스트레이터 CC 2018,"박정아 , 박효근 , 윤이사라(포완카) ",,2018-04-02,9791162240564
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍 개정3판","문호석 , 손명호 ",,2017-04-17,9791156643180
맛있는 디자인 일러스트레이터 CC 2018,박정아 ,,2018-06-05,9791162240755
"IT CookBook for Beginner, 인터넷 프로그래밍 기초",고민정 ,,2008-01-28,9788979145557
일러스트레이터 트레이닝 북: Illustrator Training Book,박혜진 삐딱대가리 ,,2009-01-28,9788979146240
"IT CookBook, 윈도우 네트워크 프로그래밍 : TCP/IP 소켓 프로그래밍","김선우 , 필드어드바이저: 김재우 ",,2008-12-01,9788979146387
맛있는 디자인 포토샵 CS6,"임화연 , 이세련 , 이해령 ",,2013-02-28,9788968480010
After Effects Professional Training book: 모션 그래픽 실무 예제집,이수정 ,,2008-09-19,9788979145960
10년차 디자이너에게 1:1로 배우는 편집 디자인 강의+인디자인,황지완 ,,2014-04-28,9788968480935
"Modern PHP: 네임스페이스, 트레이트, 클로저부터 모범 사례와 최신 도구까지",조시 록하트 ,정병열 ,2015-10-15,9788968482250
"IT CookBook, PHP 프로그래밍 for Beginner","박대혁 , 강의선 ",,2009-07-08,9788979146318
맛있는 디자인 프리미어 프로 CC 2018,"윤성우 , 김덕영 ",,2018-05-15,9791162240717
맛있는 디자인 포토샵&인디자인 CC 2018,"박효근 , 윤이사라(포완카) , 황지완 ",,2018-08-03,9791162240915
맛있는 디자인 포토샵 CC 2018,"윤이사라(포완카) , 박효근 ",,2018-02-05,9791162240465
모션 그래픽 디자인 강의 + 애프터 이펙트,이수정 ,,2016-09-21,9788968484896
"IT CookBook, 기초전자실험(개정판) : with PSpice",홍순관 ,,2016-06-10,9791156642589
"IT CookBook, 처음 만나는 회로이론",방성완 ,,2016-01-12,9791156642350
기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 ,,2013-08-21,9788998756543
"IT CookBook, 전기전자공학 개론(개정 5판)",Stan Gibilisco ,"권기영 , 윤석범 , 정영배 ",2013-02-11,9788998756017
회사에서 바로 통하는 엑셀 2013,한은숙 ,,2014-07-09,9788968481079
"IT CookBook, 기초 회로이론(개정판) : 선형회로해석의 기본 원리",최윤식 ,,2014-07-22,9791156641292
이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 ,,2014-07-10,9791156641223
"IT CookBook, 초보자의 첫 번째 워드 2010",최희식 ,,2014-02-19,9788998756987
"IT CookBook, 파워포인트 2013 for Beginner",최희식 ,,2014-10-28,9791156641285
나는 일러스트레이터다(개정판) : 비정규 아티스트 밥장이 알려주는 프리랜서의 명쾌한 자기 관리법,밥장 ,,2014-02-07,9788968480805
로고를 활용한 디자인 실무 강의 with 일러스트레이터+포토샵,장보경(앤하우스) ,,2018-03-05,9791162240496
"IT CookBook, 워드 2013 for Beginner",최희식 ,,2014-10-28,9791156641384
10년차 디자이너에게 1:1로 배우는 포토샵 디자인 강의,정다영 ,,2015-01-28,9788968481666
디자인 굿즈 만들기 with 포토샵&일러스트레이터,김신애 ,,2016-11-01,9788968484766
"IT CookBook, enjoy design 포토샵 CS6",이영주 ,,2013-07-28,9788998756352
"IT CookBook, Play 포토샵",원다예 ,,2015-04-27,9791156641803
PHP 보안: 몇 줄의 코드로 안전하게,크리스 쉬플릿 ,한동훈 ,2006-03-07,8979143877
맛있는 디자인 인디자인 CS6,황지완 ,,2012-11-28,9788979149814
이것이 편집디자인이다: 편집디자이너가 알아야 할 모든 것,김덕희(CDM The Big) ,,2012-06-18,9788979149340
"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz ","박병국 , 조성재 , 강인만 , 김중빈 ",2014-07-22,9791156641193
엑셀 함수&수식 바이블: 회사에서 필요한 함수&수식은 모두 있다!,최준선 ,,2015-04-28,9788968481826
내 일상을 꾸며주는 포토샵 CS6&CC,우보명(야우) ,,2013-12-26,9788968480744
포토샵 디자인 스타일북 : 6 TYPES 20 STYLES,김혜경 ,,2013-05-28,9788968480218
엑셀 매크로&VBA 바이블: 회사에서 필요한 코드는 모두 있다!,최준선 ,,2012-06-28,9788979149357
"IT CookBook, 인터넷 윤리","최희식 , 김상균 ",,2016-08-26,9791156642503
제대로 배우는 MATLAB,방성완 ,,2014-10-10,9791156641346
"IT CookBook, 초보자의 첫 번째 워드 2007",최희식 ,,2009-11-05,9788979146998
"IT CookBook, 기초 회로이론(개정 2판)",최윤식 ,,2017-12-28,9791156643715
회사에서 바로 통하는 엑셀+파워포인트+워드 2013(개정판),"전미진 , 이화진 , 신면철 ",,2014-10-28,9788968481369
"IT CookBook, 파워포인트 2013 : 기본 기능부터 프레젠테이션 스킬까지 한번에!","채종서 , 차유빈 ",,2014-12-17,9791156641377
회사에서 바로 통하는 엑셀+파워포인트+워드 2010,"전미진 , 이화진 , 신면철 ",,2011-08-22,9788979148534
회사에서 바로 통하는 파워포인트 2013,전상오 ,,2014-11-25,9788968481413
"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 ,,2013-07-28,9788998756536
"IT CookBook, 엑셀과 파워포인트 2013 개정판",강동진 외 4 ,,2015-04-10,9791156641773
"IT CookBook, UI/UX 디자인 이론과 실습",이영주 ,,2015-09-23,9791156642022
"IT CookBook, 포토샵 CC 2017",이영주 ,,2017-11-27,9791156643623
스콧 켈비의 사진가를 위한 포토샵 CS6,스콧 켈비(Scott Kelby) ,홍성희 ,2013-07-09,9788968480324
회사에서 바로 통하는 포토샵 CS4,원다예 ,,2009-04-09,9788979146660
"IT CookBook, 모바일 UI/UX 디자인 실무",이영주 ,,2018-07-09,9791156644088
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014,"전미진 , 이화진 , 신면철 ",,2015-05-19,9788968481949
"잰양, 티백, 앤하우스의 디자인문구 다락방","류재은 , 김신애 , 장보경 ",,2010-08-26,9788979147643
뽀얀의 포토샵 일러스트 하우스 II 미술사 거장을 만나다,뽀얀(김은혜) ,,2010-04-23,9788979147360
회사에서 바로 통하는 엑셀+파워포인트+워드 2013 & 한글 2014 & 윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",,2016-03-28,9788968482731
공학과 경영,김상균 ,,2016-07-07,9791156642626
"IT CookBook, 기초전자실험 : with PSpice",홍순관 ,,2013-03-19,9788998756123
"나에게, 포토샵: 생활 디자이너 7명이 들려주는 일상, 작업, 포토샵 이야기","김효정 , 김진숙 , 이지남 , 조영주 , 신동욱 , 최재연 , 조선진 ",,2013-03-25,9788968480096
"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형 ,,2015-02-24,9791156641759
마담의크스와 함께 하는 손글씨&동꼬 by 포토샵,"마담의크스 카페 , 네모기획 ",,2006-07-12,8979144261
"IT CookBook, MATLAB으로 배우는 공학 수치해석",방성완 ,,2014-01-24,9788998756840
"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지",이철희 ,,2013-07-31,9788998756307
"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희 ,,2015-01-09,9791156641469
회사에서 바로 통하는 엑셀&파워포인트 2010,"이희정 , 전미진 ",,2010-09-16,9788979147636
MATLAB으로 배우는 공학수학 : Engineering Mathematics,소상균 ,,2014-01-28,9788998756871
회사에서 바로 통하는 엑셀 2010 함수 이해&활용,최준선 ,,2012-09-17,9788979149630
"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희 ",,2014-02-24,9788998756789
UX/UI 디자이너를 위한 스케치 완전정복,조정옥 ,,2017-08-15,9788968488689
좋은 사진을 만드는 김주원의 포토샵 사진 강의,김주원 ,,2012-05-14,9788979149265
회사에서 바로 통하는 파워포인트 2010,"이상훈 , 김연희 ",,2011-05-03,9788979148015
회사에서 바로 통하는 엑셀&파워포인트 2013,"이희정 , 전미진 ",,2014-11-25,9788968481406
포토샵 CS 디자인 스쿨(증보판),이문형 ,,2008-02-25,9788979145045
아이벤의 블링블링 포토샵,"김현태 , 아이벤 포토샵 카페 ",,2009-09-28,9788979146929
창의적 공학설계(개정판),김은경 ,,2016-01-08,9791156642381
뽀얀의 일러스트 하우스 by 포토샵,김은혜 ,,2007-12-11,9788979145205
회사에서 바로 통하는 한글 2014,신면철 ,,2015-02-27,9788968481734
"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 ",,2013-03-20,9788998756154
스콧 켈비의 라이트룸 CC 킬러 팁 북,스콧 켈비(Scott Kelby) ,문보라 ,2016-05-31,9788968482854
"IT CookBook, 파워포인트 2010 실무와 활용",고경희 ,,2014-02-24,9788998756949
호기심디테일의 포토샵 CS5,귀동걸(박귀염) ,,2012-01-05,9788979148893
위닝 프레젠테이션 : 프레젠테이션 전문 코치가 1:1로 가르쳐주는 30가지 비밀,채종서 ,,2014-03-27,9788968480898
회사에서 바로 통하는 한글 NEO FOR STARTERS,신면철 ,,2017-06-28,9788968488092
"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석 ,,2015-01-01,9791156641445
"IT CookBook, 엑셀 2010 실무와 활용",전미진 ,,2014-02-24,9788998756802
엑셀 2010 바이블,최준선 ,,2011-09-28,9788979148541
수식이 보이는 공학수학 : Engineering Mathematics,장윤석 ,,2013-03-07,9788998756062
"IT CookBook, 파워포인트 2007 실무와 활용",고경희 ,,2014-02-17,9788998756901
좋은 사진을 만드는 김주원의 DSLR 사진 입문  : 누구에게도 묻지 못했던 사진에 관한 87가지 질문,김주원 ,,2013-06-11,9788968480232
회사에서 바로 통하는 엑셀&파워포인트 2007,"한은숙 , 고경희 ",,2008-06-11,9788979144888
좋은 사진을 만드는 김주원의 풍경사진,김주원 ,,2015-03-28,9788968481833
좋은 사진을 만드는 김주원의 미러리스 & DSLR 사진강의,김주원 ,,2015-11-12,9788968482267
최신 공학수학 with Sage Ⅰ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",,2016-01-12,9791156642091
"IT CookBook, 공업수학 : 기본 개념부터 응용까지",이준탁 ,,2015-02-16,9791156641742
설계 프로세스로 배우는 창의적 공학설계,노승환 ,,2014-06-27,9791156641094
최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",,2016-01-12,9791156642107
"창의와 혁신의 시크릿, 트리즈 : Training How To Think Inventively",김은경 ,,2015-07-10,9791156641902
실전으로 배우는 발명·특허,윤상원 ,,2014-06-30,9791156641162
MATLAB으로 배우는 공학수학 : Engineering Mathematics (개정판),소상균 ,,2018-04-05,9791156643869
회사에서 바로 통하는 파워포인트 2007(개정판),이희정 ,,2009-10-14,9788979146905
회사에서 바로 통하는 엑셀+파워포인트 2013&한글 2014,"전미진 , 이화진 , 신면철 ",,2015-04-28,9788968481932
"IT CookBook, 영상을 이용한 디지털 신호처리 : 실제적인 사례와 응용","엄민영 , 김성제 ",,2014-01-28,9788998756857
"IT CookBook, 통신시스템의 기초 : Fundamentals of Communications Systems",마이클 피츠 ,"고균병 , 이종형 , 장은영 , 홍대기 ",2009-03-09,9788979146554
회사에서 바로 통하는 엑셀 2016 FOR STARTERS,전미진 ,,2017-03-15,9788968483455
회사에서 바로 통하는 파워포인트 2016 FOR STARTERS,이화진 ,,2017-04-14,9788968483462
"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 ,,2013-03-12,9788998756109
회사에서 바로 통하는 엑셀 파워포인트 워드 2016 한글 NEO + 원노트,"전미진 , 이화진 , 신면철 ",,2016-10-21,9788968484889
수식이 보이는 공학수학 : Engineering Mathematics (개정판),장윤석 ,,2018-06-20,9791156644026
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석 ,,2015-05-30,9791156641827
"IT CookBook, 초보자의 첫 번째 파워포인트 2007",고경희 ,,2009-11-05,9788979147025
"IT CookBook, 컴퓨터 실습 : 윈도우 XP, 한글 2007, 엑셀 2007, 파워포인트 2007","김주영 , 정영준 ",,2013-03-20,9788998756185
엑셀 2007 바이블: 엑셀의 거의 모든 기능,최준선 ,,2008-11-28,9788979146042
"IT CookBook, 초보자의 첫 번째 엑셀 2007",양숙희 ,,2014-02-19,9788998756000
엑셀 2010 함수 바이블,이동숙 ,,2011-02-28,9788979148084
slide:ology - 위대한 프레젠테이션을 만드는 예술과 과학,낸시 두아르떼(Nancy Duarte) ,서환수 ,2010-03-08,9788979147308
회사에서 바로 통하는 엑셀 2007 개정판,전미진 ,,2009-08-21,9788979146776
"IT CookBook, 디지털 시스템 설계 및 실습 with VHDL & Verilog HDL",노승환 ,,2017-01-02,9791156642992
창의융합 프로젝트 아이디어북 : Creative Convergence Capstone Design with PBL,조준동 ,,2015-06-10,9791156641858
당신의 프레젠테이션이 항상 그 모양인 이유,전철웅 ,,2011-05-28,9788979147803
기초 공업수학,마인숙 ,,2017-02-28,9791156642985
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호 ",,2015-02-16,9791156641766
공학 핵심수학 : Core Mathematics for Engineering,함남우 ,,2015-01-01,9791156641438
공학 기초수학 : Basic Mathematics for Engineering,함남우 ,,2014-07-07,9791156641179
기초수학 : Basic Mathematics,"이재원 , 박성욱 ",,2014-03-21,9791156641087
인포그래픽 프레젠테이션 : 보는 순간 착 달라붙는 인포그래픽 제작 비법 68,곽승원 ,,2014-01-02,9788968480751
"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각 ",,2011-01-31,9788979147988
"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 ,,2014-08-01,9791156641124
회사에서 바로 통하는 엑셀 실무 강의,전미진 ,,2016-09-08,9788968484919
"IT CookBook, 엑셀 2013 for Beginner",양숙희 ,,2014-11-28,9791156641407
"IT CookBook, 한글 2014 for Beginner",양숙희 ,,2014-12-04,9791156641414
기초 미분적분학 : Pre Calculus,함남우 ,,2014-01-28,9788998756819
미적분학,"Carol Ash , Robert B. Ash ","김광수 , 최형규 ",2016-01-21,9791156642343
회사에서 바로 통하는 엑셀 데이터 활용+분석,"김경자 , 송선영 ",,2016-06-30,9788968482823
대학수학 Plus : University Mathematics,이재원 ,,2013-10-14,9788998756635
"IT CookBook, 기초 신호 및 시스템",이철희 ,,2016-07-18,9791156642657
컨설턴트가 알려주는 보고서 작성의 기술 with 파워포인트,홍장표 ,,2015-07-17,9788968481925
파워포인트 블루스,김용석 ,,2009-05-21,9788979146653
회사에서 바로 통하는 엑셀&파워포인트 2016,"전미진 , 이화진 ",,2017-07-07,9788968483332
"IT CookBook, 알기 쉬운 최신 VLSI 설계: CMOS부터 SoC까지",조준동 ,,2015-09-17,9791156641971
누구나 할 수 있는 인포그래픽 with 파워포인트,곽승원(꽉군) ,,2015-11-27,9788968482434
"IT CookBook, VHDL을 이용한 FPGA 디지털 설계 : 실습부터 응용까지",노승환 ,,2014-01-28,9788998756833
"IT CookBook, VHDL을 이용한 디지털 회로 입문","나미키 히데아키 , 나가이 다카미치 ","김은성 , 이영희 ",2009-05-30,9788979146714
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO,"전미진 , 이화진 , 신면철 ",,2017-07-12,9788968483363
기초 미분적분학(개정판) : Pre Calculus,함남우 ,,2017-07-07,9791156643210
회사에서 바로 통하는 엑셀+파워포인트 2016&한글 NEO&윈도우 10,"전미진 , 이화진 , 신면철 , 박광수(아크몬드) ",,2018-01-02,9791162240250
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 ,,2014-10-10,9791156641315
"IT CookBook, 확률과 랜덤 과정",정호영 ,,2018-01-15,9791156643791
"IT CookBook, 컴퓨터 비전",오일석 ,,2014-07-01,9791156641216
생생한 사례로 배우는 확률과 통계,이재원 ,,2016-07-15,9791156642619
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근 ,,2015-07-10,9791156641834
확률과 통계 입문 : Basic Probability & Statistics,이재원 ,,2017-07-10,9791156643227
회사에서 바로 통하는 엑셀+파워포인트+워드 2016&한글 NEO&윈도우 10,"전미진 , 이화진 , 신면철 , 박광수 ",,2018-02-05,9791162240267
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국 ",,2015-06-10,9791156641841
"IT CookBook, 컴퓨터 활용과 실습 : 컴퓨터 기초, 한글 2014, 엑셀 2013, 파워포인트 2013",김주영 ,,2015-02-02,9791156641490
디자인 문구 실무 제작&디자인(7년차 디자이너 야우가 알려주는),우보명(야우) ,,2011-07-14,9788979148060
회사에서 바로 통하는 엑셀 함수 실무 강의,"김경자 , 송선영 ",,2017-05-31,9788968488054
회사에서 바로 통하는 엑셀 2013 & 한글 2014,"전미진 , 신면철 ",,2015-06-28,9788968482076
회사에서 바로 통하는 엑셀 2010,한은숙 ,,2011-03-23,9788979147865
엑셀 2013 바이블 : 회사에서 필요한 기능은 모두 있다,최준선 ,,2013-06-25,9788968480270
"IT CookBook, 엑셀 2013 : 기본 기능부터 실무 활용까지",하숙정 ,,2015-02-16,9791156641506
"IT CookBook, 전기전자공학 개론(개정 6판)","Stan Gibilisco , Simon Monk ","권기영 , 조성재 , 유태훈 ",2017-11-30,9791156643661
"IT CookBook, 엑셀 2007 실무와 활용",한은숙 ,,2014-02-17,9788998756918
"IT CookBook, 엑셀과 파워포인트 2007 실무와 활용","한은숙 , 고경희 ",,2013-03-12,9788998756093
회사에서 바로 통하는 엑셀 2016,한은숙 ,,2017-07-05,9788968483356
맥 사용자를 위한 엑셀+파워포인트+워드 2016 : Office for Mac,장경호 ,,2016-02-26,9788968482595
엑셀 피벗&파워 쿼리 바이블,최준선 ,,2017-11-05,9791162240083
엑셀 2016 바이블,최준선 ,,2016-09-30,9788968484827
엑셀 2016 매크로&VBA 바이블,최준선 ,,2016-02-26,9788968482670
MATLAB으로 배우는 공학 수치해석(개정판),방성완 ,,2018-07-20,9791156643999
"IT CookBook, 원리로 이해하는 마이크로파 공학",홍익표 ,,2015-07-10,9791156641896
기계 학습,오일석 ,,2017-12-05,9791156641582
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller ,"곽경섭 , 고영채 ",2016-01-04,9791156642084
엑셀 2016 함수&수식 바이블,최준선 ,,2018-05-04,9791162240724
맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2018,"김덕영 , 윤성우 , 이수정 ",,2018-08-03,9791162240922
맛있는 디자인 애프터 이펙트 CC 2018,이수정 ,,2018-06-30,9791162240762
기초 선형대수학 : BASIC LINEAR ALGEBRA,"이광연 , 설한국 , 김진수 ",,2013-11-02,9788998756642
뽀얀의 감성 일러스트레이션 : 포토샵과 일러스트레이터를 이용한 손 느낌 나는 일러스트 기법,뽀얀(김은혜) ,,2012-10-28,9788979149661
오픈 소스 : 오픈 소스 혁명의 목소리 Vol 1,"에릭 스티븐 레이먼드 , 리처드 스톨먼 , 팀 오라일리 , 리누스 토르발스 ","최준호 , 이만용 , 이기동 ",2013-07-31,9788968486449
쇼핑몰 디자인 제작 북,"임화연 , 이해령 ",,2017-12-05,9791162240311
easy LED : 초보자를 위한 LED 가이드북,홍순관 ,,2017-01-02,9791156643005
AngularJS 기초편 : MVC 패턴을 구현하는 자바스크립트 프레임워크,"브래드 그린 , 샤이엄 세샤드리 ",김지원 ,2013-07-31,9788968486418
비즈니스 모델 게임 : 성공하는 사업모델을 만드는 9단계의 비밀,"김진영 , 강재민 ",,2013-08-09,9788968480362
맛있는 디자인 포토샵 & 드림위버 CC,"임화연 , 이해령 ",,2016-08-10,9788968484964
"IT CookBook, 인공지능 개론",마이클 네그네빗스키 ,김용혁 ,2013-08-13,9788998756451
키노트 6.x 프레젠테이션 : 키노트 사용자를 위한 기본+활용법,윤춘근 ,,2014-06-20,9788968481123
"IT CookBook, RF 및 초고주파 공학",카이 창(Kai Chang) ,홍익표 ,2014-03-12,9791156641063
회사에서 바로 통하는 엑셀 비즈니스 데이터 분석,히바나 히로코(日花弘子) ,"최수진 , 최준선 ",2006-03-03,8979143869
도와주세요! 맥북이 생겼어요 : Mac OS X Yosemite 요세미티,김경범 ,,2014-11-28,9788968481338
The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부,도널드 커누스(Donald E. Knuth) ,류광 ,2013-08-19,9788968480287
"IT CookBook for Beginner, C++ 기초","신호철 , 조인현 ",,2013-08-13,9788998756475
MOS Access 2007,이지윤 ,,2013-08-21,9788998756550
"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석 ,,2013-08-18,9788998756505
MOS PowerPoint 2007,"이지윤 , 김선희 ",,2013-08-21,9788998756574
"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010",김지연 ,,2013-08-21,9788998756369
iOS 빌드와 릴리스 - 환경 설정,론 로슈 ,이연진 ,2013-08-22,9788968486401
Redis 운영 관리 : Redis를 실무에 사용하기 전에 꼭 알아야 하는 실전 전략,강대명 ,,2013-08-30,9788968486470
"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처",신종홍 ,,2013-08-21,9788998756314
MOS Word 2007 Expert,"이지윤 , 김주경 ",,2013-08-21,9788998756581
Think Stats : 프로그래머를 위한 통계 및 데이터 분석 방법,앨런 B. 다우니 ,김석우 ,2013-09-03,9788968486340
